name_en,desc_en,name_ru,desc_ru,name_th,desc_th,name_zh,desc_zh,name_ar,desc_ar,id_external,published,section,price_1,price_1_calorie,price_1_desc_en,price_1_desc_ru,price_1_desc_th,price_1_desc_zh,is_snooze,food_color_code,is_new,is_signature,is_chefs_special,is_must_try,is_best_seller,is_our_favorite,is_healthy,preparation_time,stock
"House Garden Salad","Market medley salad, Green Apple, Feta, Walnut, Vinaigrette Dressing.","Садовый салат","Салат из свежих овощей, зелёное яблоко, фета, грецкий орех, заправка винегрет.","สลัดผักสวนครัว","สลัดผักรวม แอปเปิลเขียว ชีสเฟต้า วอลนัท ราดน้ำสลัดวิเนเกรต","田园沙拉","时令蔬菜沙拉，青苹果、菲达奶酪、核桃，油醋汁。","سلطة الحديقة","سلطة خضار موسمية مع التفاح الأخضر وجبنة الفيتا والجوز وصلصة الفينيغريت.","","Yes","Healthy Choices","280","","","","","","","","","","","","","","Yes","",""
"Poke Bowl","Fresh Salmon, Avocado, Cucumber, Carrot, Wakame, Sushi Rice.","Поке боул","Свежий лосось, авокадо, огурец, морковь, вакамэ, рис для суши.","โพเกโบวล์","แซลมอนสด อะโวคาโด แตงกวา แครอท สาหร่ายวากาเมะ ข้าวซูชิ","波奇饭","新鲜三文鱼、牛油果、黄瓜、胡萝卜、裙带菜、寿司饭。","بوكي بول","سلمون طازج، أفوكادو، خيار، جزر، أعشاب واكامي، أرز سوشي.","","Yes","Healthy Choices","380","","","","","","","","","","","","","","Yes","",""
"Marisa Caesar Salad (Chicken)","Lightly Hydroponic Romaine Cos, Free range egg onsen, Parmesan, Caesar Dressing.","Салат Цезарь с курицей","Гидропонный романо, яйцо онсэн, пармезан, соус Цезарь, с курицей.","ซีซาร์สลัดมาริสา (ไก่)","ผักคอสไฮโดรโปนิกส์ ไข่ออนเซ็น พาร์เมซาน น้ำสลัดซีซาร์","玛丽莎凯撒沙拉(鸡肉)","水培罗马生菜、温泉蛋、帕玛森芝士、凯撒酱，配鸡肉。","سلطة سيزر بالدجاج","خس روماني مائي، بيض أونسن، جبن بارميزان، صلصة سيزر، مع الدجاج.","","Yes","Healthy Choices","320","","","","","","","","","","","","","","Yes","",""
"Marisa Caesar Salad (Prawns)","Lightly Hydroponic Romaine Cos, Free range egg onsen, Parmesan, Caesar Dressing.","Салат Цезарь с креветками","Гидропонный романо, яйцо онсэн, пармезан, соус Цезарь, с креветками.","ซีซาร์สลัดมาริสา (กุ้ง)","ผักคอสไฮโดรโปนิกส์ ไข่ออนเซ็น พาร์เมซาน น้ำสลัดซีซาร์","玛丽莎凯撒沙拉(虾)","水培罗马生菜、温泉蛋、帕玛森芝士、凯撒酱，配虾。","سلطة سيزر بالروبيان","خس روماني مائي، بيض أونسن، جبن بارميزان، صلصة سيزر، مع الروبيان.","","Yes","Healthy Choices","370","","","","","","","","","","","","","","Yes","",""
"Mixed Thai Appetizer","Vegetables spring rolls, Chicken wrapped with pandan leaves, Prawn Golden bag, Sweet chili sauce.","Тайское ассорти закусок","Овощные спринг-роллы, курица в листьях пандана, креветочные мешочки, сладкий чили соус.","ออร์เดิร์ฟไทยรวม","ปอเปี๊ยะผัก ไก่ห่อใบเตย ถุงทองกุ้ง เสิร์ฟพร้อมน้ำจิ้มหวาน","泰式拼盘","蔬菜春卷、香兰叶包鸡、黄金虾包，配甜辣酱。","مقبلات تايلاندية مشكلة","سبرينغ رول بالخضار، دجاج ملفوف بأوراق الباندان، أكياس الروبيان الذهبية، مع صلصة الفلفل الحلو.","","Yes","Warm Appetizers","330","","","","","","","","","Yes","","","","","","",""
"Por Pia","Vegetables Spring Rolls served with dipping sauce.","Спринг-роллы","Овощные спринг-роллы с соусом для макания.","ปอเปี๊ยะทอด","ปอเปี๊ยะผักทอด เสิร์ฟพร้อมน้ำจิ้ม","炸春卷","炸蔬菜春卷，配蘸酱。","سبرينغ رول بالخضار","سبرينغ رول بالخضار يقدم مع صلصة الغمس.","","Yes","Warm Appetizers","275","","","","","","","","","","","","","","","",""
"Mixed Satay","Marinated Chicken and Beef Satay served with Peanut Sauce.","Сатай ассорти","Маринованные куриный и говяжий сатай с арахисовым соусом.","สะเต๊ะรวม","สะเต๊ะไก่และเนื้อ เสิร์ฟพร้อมน้ำจิ้มถั่ว","沙爹拼盘","腌制鸡肉与牛肉沙爹，配花生酱。","ساتيه مشكل","ساتيه الدجاج ولحم البقر المتبل مع صلصة الفول السوداني.","","Yes","Warm Appetizers","330","","","","","","","","","","","","","","","",""
"Peek Gai Thod Samoonprai","Windsong's Famous Crispy Chicken Wings Infused with Lemongrass & Chili.","Куриные крылышки с травами","Хрустящие куриные крылышки с лемонграссом и чили.","ปีกไก่ทอดสมุนไพร","ปีกไก่ทอดกรอบสมุนไพร ตะไคร้และพริก","香草炸鸡翅","香茅辣椒风味香脆炸鸡翅。","أجنحة دجاج بالأعشاب","أجنحة دجاج مقرمشة بنكهة عشبة الليمون والفلفل الحار.","","Yes","Warm Appetizers","285","","","","","","","","","","","","","","","",""
"Fish and Chips","Sea bass with Wedge Potatoes and Tartar sauce.","Фиш энд чипс","Сибас с картофелем по-деревенски и соусом тартар.","ฟิชแอนด์ชิปส์","ปลากะพงทอด เสิร์ฟพร้อมมันฝรั่งและซอสทาร์ทาร์","炸鱼薯条","炸鲈鱼柳配角切薯块与塔塔酱。","سمك وبطاطس","سمك القاروص مع أصابع البطاطس وصلصة التارتار.","","Yes","Warm Appetizers","350","","","","","","","","","","","","","","","",""
"Yam Woonsen Talay","Glass Noodle Salad, Squid, Shrimp, Shallot & Chili with local Citrus Dressing.","Салат с фунчозой и морепродуктами","Салат с фунчозой, кальмаром, креветками, шалотом и чили в цитрусовой заправке.","ยำวุ้นเส้นทะเล","วุ้นเส้น ปลาหมึก กุ้ง หอมแดง พริก ราดน้ำยำรสจัด","海鲜粉丝沙拉","粉丝沙拉，鱿鱼、虾、红葱、辣椒，柑橘酸辣汁。","سلطة الشعيرية بالمأكولات البحرية","سلطة الشعيرية مع الحبار والروبيان والكراث والفلفل الحار وصلصة الحمضيات.","","Yes","Warm Appetizers","350","","","","","","","","","","","","","","","",""
