name_en,desc_en,name_ru,desc_ru,name_th,desc_th,name_zh,desc_zh,name_ar,desc_ar,id_external,published,section,is_new,is_signature
"Healthy Choices","Fresh salads and light dishes.","Здоровый выбор","Свежие салаты и лёгкие блюда.","สลัด / เมนูเพื่อสุขภาพ","สลัดสดและเมนูเบาๆ เพื่อสุขภาพ","健康之选","新鲜沙拉与轻食。","خيارات صحية","سلطات طازجة وأطباق خفيفة.","","Yes","Healthy Choices","",""
"Warm Appetizers","Hot starters to share.","Горячие закуски","Горячие закуски для компании.","อาหารทานเล่นร้อน","อาหารทานเล่นร้อน เหมาะแบ่งปันกัน","热开胃菜","热开胃菜，适合分享。","مقبلات ساخنة","مقبلات ساخنة للمشاركة.","","Yes","Warm Appetizers","",""
"Soups","Thai and international soups.","Супы","Тайские и международные супы.","ซุป","ซุปไทยและซุปนานาชาติ","汤类","泰式与国际汤品。","الشوربات","شوربات تايلاندية وعالمية.","","Yes","Soups","",""
"Flame Grilled","Char-grilled meats and seafood.","Блюда на гриле","Мясо и морепродукты на гриле.","เมนูย่างเตาถ่าน","เนื้อและอาหารทะเลย่างเตาถ่าน","炭火烧烤","炭火烧烤肉类与海鲜。","مشويات على الفحم","لحوم ومأكولات بحرية مشوية على الفحم.","","Yes","Flame Grilled","",""
"House Pasta","Italian style pasta.","Паста","Паста в итальянском стиле.","พาสต้า","พาสต้าสไตล์อิตาเลียน","意式面食","意式面食。","المعكرونة","معكرونة على الطريقة الإيطالية.","","Yes","House Pasta","",""
"Sandwiches & Burgers","Served with French fries.","Сэндвичи и бургеры","Подаются с картофелем фри.","แซนด์วิชและเบอร์เกอร์","เสิร์ฟพร้อมเฟรนช์ฟรายส์","三明治与汉堡","配薯条。","السندويشات والبرغر","تقدم مع البطاطس المقلية.","","Yes","Sandwiches & Burgers","",""
"Thai Main Dish","Classic Thai main courses.","Тайские основные блюда","Классические тайские основные блюда.","อาหารไทยจานหลัก","อาหารไทยจานหลัก","泰式主菜","泰式经典主菜。","الأطباق التايلاندية الرئيسية","أطباق تايلاندية رئيسية كلاسيكية.","","Yes","Thai Main Dish","",""
"Curry","Rich Thai curries.","Карри","Насыщенные тайские карри.","แกง","แกงไทยรสเข้มข้น","咖喱","浓郁泰式咖喱。","الكاري","كاري تايلاندي غني.","","Yes","Curry","",""
"One Dish Thai Traditional","Thai one dish meals.","Тайские блюда одной порцией","Тайские блюда одной порцией.","อาหารจานเดียว","อาหารจานเดียวแบบไทย","泰式单人套餐","泰式单人套餐。","أطباق تايلاندية مفردة","أطباق تايلاندية مفردة.","","Yes","One Dish Thai Traditional","",""
"Phuket Special","Southern Phuket specialities.","Специалитеты Пхукета","Специалитеты южного Пхукета.","เมนูพิเศษภูเก็ต","เมนูพิเศษเอกลักษณ์ภูเก็ต","普吉特色菜","普吉南部特色菜。","أطباق بوكيت الخاصة","أطباق بوكيت الجنوبية الخاصة.","","Yes","Phuket Special","",""
"Sweet Ending (Desserts)","Thai and western desserts.","Десерты","Тайские и европейские десерты.","ของหวาน","ของหวานไทยและตะวันตก","甜点","泰式与西式甜点。","الحلويات","حلويات تايلاندية وغربية.","","Yes","Sweet Ending (Desserts)","",""
"Kids Menu - Appetizer","All items include a fresh fruit slice & juice.","Детское меню - Закуски","Все блюда подаются с фруктами и соком.","เมนูเด็ก - ของว่าง","ทุกเมนูเสิร์ฟพร้อมผลไม้สดและน้ำผลไม้","儿童餐 - 开胃菜","所有餐点均附新鲜水果与果汁。","قائمة الأطفال - المقبلات","جميع الأطباق تقدم مع الفواكه الطازجة والعصير.","","Yes","Kids Menu - Appetizer","",""
"Kids Menu - Soup","All items include a fresh fruit slice & juice.","Детское меню - Супы","Все блюда подаются с фруктами и соком.","เมนูเด็ก - ซุป","ทุกเมนูเสิร์ฟพร้อมผลไม้สดและน้ำผลไม้","儿童餐 - 汤","所有餐点均附新鲜水果与果汁。","قائمة الأطفال - الشوربة","جميع الأطباق تقدم مع الفواكه الطازجة والعصير.","","Yes","Kids Menu - Soup","",""
"Kids Menu - Main Course","All items include a fresh fruit slice & juice.","Детское меню - Основные блюда","Все блюда подаются с фруктами и соком.","เมนูเด็ก - จานหลัก","ทุกเมนูเสิร์ฟพร้อมผลไม้สดและน้ำผลไม้","儿童餐 - 主菜","所有餐点均附新鲜水果与果汁。","قائمة الأطفال - الطبق الرئيسي","جميع الأطباق تقدم مع الفواكه الطازجة والعصير.","","Yes","Kids Menu - Main Course","",""
"Kids Menu - Dessert","All items include a fresh fruit slice & juice.","Детское меню - Десерты","Все блюда подаются с фруктами и соком.","เมนูเด็ก - ของหวาน","ทุกเมนูเสิร์ฟพร้อมผลไม้สดและน้ำผลไม้","儿童餐 - 甜点","所有餐点均附新鲜水果与果汁。","قائمة الأطفال - الحلويات","جميع الأطباق تقدم مع الفواكه الطازجة والعصير.","","Yes","Kids Menu - Dessert","",""
"Beers","Chilled local and imported beers.","Пиво","Охлаждённое местное и импортное пиво.","เบียร์","เบียร์ไทยและเบียร์นำเข้า","啤酒","本地与进口冰镇啤酒。","البيرة","بيرة محلية ومستوردة مثلجة.","","Yes","Beers","",""
